GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
cadmototaxistas,br.gov.ba.saj.smtt.cadmototaxistas.security.services.mail.impl,MailServiceImpl,6,3,0,0,2,1,1,1,1,1
cadmototaxistas,br.gov.ba.saj.smtt.cadmototaxistas.auditoria.controller,RegistroAuditoriaController,47,3,2,0,11,1,3,1,2,1
cadmototaxistas,br.gov.ba.saj.smtt.cadmototaxistas.security.model.entities,Token,0,4,0,0,0,2,0,1,0,1
cadmototaxistas,br.gov.ba.saj.smtt.cadmototaxistas.security.model.entities,Usuario,0,69,0,2,0,27,0,15,0,14
cadmototaxistas,br.gov.ba.saj.smtt.cadmototaxistas.security.model.entities,Perfil,0,12,0,0,0,6,0,2,0,2
cadmototaxistas,br.gov.ba.saj.smtt.cadmototaxistas.security.infra,SecurityConfiguration,0,355,0,0,0,53,0,16,0,16
cadmototaxistas,br.gov.ba.saj.smtt.cadmototaxistas.security.services.token.impl,TokenServiceImpl,94,8,0,0,22,2,7,2,7,2
cadmototaxistas,br.gov.ba.saj.smtt.cadmototaxistas.util.messages,UtilMessage,297,0,33,0,63,0,25,0,7,0
cadmototaxistas,br.gov.ba.saj.smtt.cadmototaxistas.web.controllers.motocicleta.modelo,MotoModeloController,232,3,14,0,55,1,17,1,10,1
cadmototaxistas,br.gov.ba.saj.smtt.cadmototaxistas.service.ponto.impl,PontoServiceImpl,154,3,6,0,35,1,17,1,14,1
cadmototaxistas,br.gov.ba.saj.smtt.cadmototaxistas,CadmototaxistasApplication,5,3,0,0,2,1,1,1,1,1
cadmototaxistas,br.gov.ba.saj.smtt.cadmototaxistas.infra.exception,ExceptionController,132,7,6,0,30,2,7,2,4,2
cadmototaxistas,br.gov.ba.saj.smtt.cadmototaxistas.infra.exception,AcessoNegadoException,4,0,0,0,2,0,1,0,1,0
cadmototaxistas,br.gov.ba.saj.smtt.cadmototaxistas.web.controllers.motocicleta.marca,MotoMarcaController,162,3,14,0,41,1,15,1,8,1
cadmototaxistas,br.gov.ba.saj.smtt.cadmototaxistas.service.condutor.validation.cep,CepValidator,15,0,4,0,4,0,4,0,2,0
cadmototaxistas,br.gov.ba.saj.smtt.cadmototaxistas.security.model.enums,PerfilTipo,0,44,0,0,0,10,0,4,0,4
cadmototaxistas,br.gov.ba.saj.smtt.cadmototaxistas.security.model.enums,SecureTokenType,42,0,0,0,9,0,3,0,3,0
cadmototaxistas,br.gov.ba.saj.smtt.cadmototaxistas.reports.service,JasperService,70,7,2,0,19,2,4,2,3,2
cadmototaxistas,br.gov.ba.saj.smtt.cadmototaxistas.reports.enums,TipoRelatorio,85,0,4,0,15,0,6,0,4,0
cadmototaxistas,br.gov.ba.saj.smtt.cadmototaxistas.service.motocicleta.validation.anofabricacao,AnoFabricacaoValidator,25,0,6,0,6,0,5,0,2,0
